"animal_id","year_cap","event","wyey","dmp_pasture","birth_site","birth_year"
"270-2007-1-061",2007,1,"west yana","dmp","west yana_dmp",2007
"270-2007-1-061",2008,1,"west yana","dmp","west yana_dmp",2007
"270-2007-1-062",2007,1,"west yana","dmp","west yana_dmp",2007
"270-2007-1-065",2007,1,"west yana","dmp","west yana_dmp",2007
"270-2007-1-065",2008,1,"west yana","dmp","west yana_dmp",2007
"270-2007-1-065",2009,1,"west yana","dmp","west yana_dmp",2007
"270-2007-1-065",2010,1,"west yana","dmp","west yana_dmp",2007
"270-2007-1-065",2011,1,"west yana","dmp","west yana_dmp",2007
"270-2007-1-065",2012,1,"west yana","dmp","west yana_dmp",2007
"270-2007-1-065",2013,1,"west yana","dmp","west yana_dmp",2007
"270-2007-1-066",2007,1,"west yana","dmp","west yana_dmp",2007
"270-2007-1-066",2008,1,"west yana","dmp","west yana_dmp",2007
"270-2007-1-066",2009,1,"west yana","dmp","west yana_dmp",2007
"270-2007-1-066",2010,1,"west yana","dmp","west yana_dmp",2007
"270-2007-1-066",2011,1,"west yana","dmp","west yana_dmp",2007
"270-2007-1-066",2012,1,"west yana","dmp","west yana_dmp",2007
"270-2007-1-066",2013,1,"west yana","dmp","west yana_dmp",2007
"270-2007-1-066",2014,1,"west yana","dmp","west yana_dmp",2007
"270-2007-1-066",2015,1,"west yana","dmp","west yana_dmp",2007
"270-2007-1-066",2016,1,"west yana","dmp","west yana_dmp",2007
"270-2008-1-003",2008,1,"west yana","dmp","west yana_dmp",2008
"270-2008-1-006",2008,1,"west yana","dmp","west yana_dmp",2008
"270-2008-1-006",2009,1,"west yana","dmp","west yana_dmp",2008
"270-2008-1-008",2008,1,"west yana","dmp","west yana_dmp",2008
"270-2008-1-008",2009,1,"west yana","dmp","west yana_dmp",2008
"270-2008-1-008",2010,1,"west yana","dmp","west yana_dmp",2008
"270-2008-1-008",2011,1,"west yana","dmp","west yana_dmp",2008
"270-2008-1-008",2012,1,"west yana","dmp","west yana_dmp",2008
"270-2008-1-008",2013,1,"west yana","dmp","west yana_dmp",2008
"270-2008-1-008",2014,1,"west yana","dmp","west yana_dmp",2008
"270-2008-1-011",2008,1,"west yana","dmp","west yana_dmp",2008
"270-2008-1-011",2009,1,"west yana","dmp","west yana_dmp",2008
"270-2008-1-011",2010,1,"west yana","dmp","west yana_dmp",2008
"270-2008-1-011",2011,1,"west yana","dmp","west yana_dmp",2008
"270-2008-1-011",2012,1,"west yana","dmp","west yana_dmp",2008
"270-2008-1-011",2013,1,"west yana","dmp","west yana_dmp",2008
"270-2008-1-011",2014,1,"west yana","dmp","west yana_dmp",2008
"270-2008-1-011",2015,1,"west yana","dmp","west yana_dmp",2008
"270-2008-1-012",2008,1,"west yana","dmp","west yana_dmp",2008
"270-2008-1-012",2009,1,"west yana","dmp","west yana_dmp",2008
"270-2008-1-012",2010,1,"west yana","dmp","west yana_dmp",2008
"270-2008-1-012",2011,1,"west yana","dmp","west yana_dmp",2008
"270-2008-1-012",2012,1,"west yana","dmp","west yana_dmp",2008
"270-2008-1-012",2013,1,"west yana","dmp","west yana_dmp",2008
"270-2008-1-012",2014,1,"west yana","dmp","west yana_dmp",2008
"270-2008-1-012",2015,1,"west yana","dmp","west yana_dmp",2008
