"animal_id","2008","2009","2010","2011","2012","2013","2014","2016","2015","2017","2019","2018","2020","2021","2022","birth_year","bs"
"270-2007-1-001","1","1","1","1","1","1","1","1","0","0","0","0","0","0","0","2007","dmp"
"270-2007-1-006","1","1","1","1","1","1","1","1","1","1","0","0","0","0","0","2007","dmp"
"270-2007-1-007","1","1","1","1","1","0","1","0","1","0","0","0","0","0","0","2007","dmp"
"270-2007-1-011","0","1","1","1","1","1","1","0","0","0","0","0","0","0","0","2007","dmp"
"270-2007-1-012","1","1","1","1","1","0","1","1","1","1","1","0","0","0","0","2007","dmp"
"270-2007-1-051","1","1","1","1","1","1","1","1","1","1","0","0","0","0","0","2007","dmp"
"270-2007-1-053","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2007","dmp"
"270-2007-1-056","1","1","1","1","1","1","1","1","1","0","0","0","0","0","0","2007","dmp"
"270-2007-1-057","1","1","1","1","1","1","1","1","1","1","0","1","0","0","0","2007","dmp"
"270-2007-1-058","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2007","dmp"
"270-2007-1-061","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2007","dmp"
"270-2007-1-065","1","1","1","1","1","2","0","0","0","0","0","0","0","0","0","2007","dmp"
"270-2007-1-066","1","1","1","1","1","1","1","0","1","0","0","0","0","0","0","2007","dmp"
"270-2008-1-006","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2008","dmp"
"270-2008-1-008","0","1","1","1","1","1","2","0","0","0","0","0","0","0","0","2008","dmp"
"270-2008-1-011","0","1","1","1","1","1","1","0","1","0","0","0","0","0","0","2008","dmp"
"270-2008-1-012","0","1","1","1","1","1","1","1","1","0","0","0","0","0","0","2008","dmp"
"270-2008-1-013","0","1","1","1","1","1","1","1","1","1","0","0","0","0","0","2008","dmp"
"270-2008-1-014","0","1","1","1","1","1","1","1","1","0","0","0","0","0","0","2008","dmp"
"270-2008-1-017","0","1","1","1","1","1","1","1","1","1","1","1","0","0","0","2008","dmp"
"270-2008-1-018","0","1","1","0","1","1","0","1","1","1","0","1","0","0","0","2008","dmp"
"270-2008-1-019","0","1","1","1","1","1","2","0","0","0","0","0","0","0","0","2008","dmp"
"270-2008-1-022","0","1","1","1","1","1","1","1","1","0","0","0","0","0","0","2008","dmp"
"270-2008-1-028","0","1","1","1","1","1","1","0","0","0","0","0","0","0","0","2008","dmp"
"270-2009-1-002","0","0","1","1","1","1","1","1","1","1","0","1","0","0","0","2009","dmp"
