"zero_indices","animal_id","birth_year","bs","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
FALSE,"270-2010-1-007",2010,"dmp",0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0
FALSE,"270-2010-1-009",2010,"dmp",0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0
FALSE,"270-2010-1-010",2010,"dmp",0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0
FALSE,"270-2010-1-013",2010,"dmp",0,0,0,1,1,0,0,0,0,1,1,1,2,0,0,0
FALSE,"270-2010-1-014",2010,"dmp",0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
FALSE,"270-2010-1-015",2010,"dmp",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,"270-2010-1-019",2010,"dmp",0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
FALSE,"270-2010-1-020",2010,"dmp",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,"270-2010-1-021",2010,"dmp",0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0
FALSE,"270-2010-1-023",2010,"dmp",0,0,0,1,1,0,0,0,0,1,1,1,1,1,0,0
FALSE,"270-2010-1-025",2010,"dmp",0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0
FALSE,"270-2010-1-027",2010,"dmp",0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0
FALSE,"270-2010-1-028",2010,"dmp",0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0
FALSE,"270-2010-1-035",2010,"dmp",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,"270-2010-1-038",2010,"dmp",0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1
FALSE,"270-2010-1-039",2010,"dmp",0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0
FALSE,"270-2010-1-084",2010,"dmp",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,"270-2010-1-086",2010,"dmp",0,0,0,1,1,1,1,0,1,1,1,1,0,1,0,0
