"2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
-0.964455806847349,-0.0225630959477064,0.171355991590455,0.642302347040276,1.08554597569893,1.27946506323709,NA,NA,0.697707800622608,NA,NA,NA,NA,NA,NA
-1.13067216759434,-0.13337400311237,0.974735068534268,0.697707800622608,1.14095142928126,1.72270869189575,1.41797869719292,1.05784324890777,0.697707800622608,0.337572352337451,NA,NA,NA,NA,NA
-0.521212178188693,0.199058718381621,1.22405960965476,1.1963568828636,1.36257324361059,NA,1.99973595980741,1.1132487024901,NA,NA,NA,NA,NA,NA,NA
NA,-0.0225630959477064,0.670005073831442,0.836221434578438,NA,0.89162688816077,1.16865415607243,NA,NA,NA,NA,NA,NA,NA,NA
-1.13067216759434,-0.0225630959477064,NA,0.974735068534268,NA,NA,NA,1.1963568828636,1.16865415607243,0.642302347040276,NA,NA,NA,NA,NA
-0.881347626473851,0.254464171963953,1.16865415607243,1.00243779532543,1.1132487024901,1.41797869719292,1.50108687756642,NA,1.30716779002826,0.503788713084447,NA,NA,NA,NA,NA
-0.825942172891519,0.0605450844257915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.936753080056183,0.0328423576346255,0.89162688816077,0.947032341743102,1.1963568828636,1.22405960965476,1.39027597040176,0.171355991590455,0.614599620249111,NA,NA,NA,NA,NA,NA
-1.96175397132932,-0.964455806847349,-0.299590363859366,0.115950538008123,1.05784324890777,0.476085986293281,NA,-0.105671276321204,NA,-0.936753080056183,NA,NA,NA,NA,NA
-1.21378034796784,0.0882478112169574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1.51851034267067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.115950538008123,1.36257324361059,1.58419505793992,1.86122232585158,1.83351959906041,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1.60161852304417,-0.825942172891519,-0.0502658227388723,-0.161076729903536,1.33487051681943,0.337572352337451,0.586896893457945,0.143653264799289,-0.216482183485868,NA,NA,NA,NA,NA,NA
-1.51851034267067,-0.715131265726855,NA,0.365275079128617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1.76783488379116,NA,NA,NA,0.115950538008123,0.365275079128617,0.614599620249111,0.00513963084345959,-0.13337400311237,NA,NA,NA,NA,NA,NA
-1.07526671401201,-0.299590363859366,NA,0.531491439875613,1.1132487024901,1.22405960965476,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.438103997815196,0.337572352337451,NA,1.39027597040176,2.08284414018091,1.83351959906041,2.44297958846606,NA,NA,NA,NA,NA,NA,NA,NA
-0.992158533638515,-0.2718876370682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.825942172891519,0.254464171963953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.438103997815196,0.531491439875613,1.61189778473108,1.50108687756642,2.22135777413674,2.22135777413674,1.99973595980741,1.77811414547808,1.47338415077525,NA,NA,NA,NA,NA,NA
