"category","year","value","pasture"
"Total Harvest",2014,-118,"East Yana"
"Total Harvest",2015,-374,"East Yana"
"Total Harvest",2016,-30,"East Yana"
"Total Harvest",2017,-20,"East Yana"
"Total Harvest",2018,-5,"East Yana"
"Total Harvest",2019,-23,"East Yana"
"Total Harvest",2020,-52,"East Yana"
"Total Harvest",2021,NA,"East Yana"
"TOTAL BUCKS",2007,12,"West Yana"
"TOTAL BUCKS",2008,19,"West Yana"
"TOTAL BUCKS",2009,25,"West Yana"
"TOTAL BUCKS",2010,38,"West Yana"
"TOTAL BUCKS",2011,54,"West Yana"
"TOTAL BUCKS",2012,60,"West Yana"
"TOTAL BUCKS",2013,102,"West Yana"
"TOTAL BUCKS",2014,122,"West Yana"
"TOTAL BUCKS",2015,112,"West Yana"
"TOTAL BUCKS",2016,52,"West Yana"
"TOTAL BUCKS",2017,49,"West Yana"
"TOTAL BUCKS",2018,52,"West Yana"
"TOTAL BUCKS",2019,58,"West Yana"
"TOTAL BUCKS",2020,84,"West Yana"
"TOTAL BUCKS",2021,74,"West Yana"
"DOES",2007,32,"West Yana"
"DOES",2008,29,"West Yana"
"DOES",2009,43,"West Yana"
"DOES",2010,22,"West Yana"
"DOES",2011,73,"West Yana"
"DOES",2012,67,"West Yana"
"DOES",2013,60,"West Yana"
"DOES",2014,65,"West Yana"
"DOES",2015,101,"West Yana"
"DOES",2016,60,"West Yana"
"DOES",2017,43,"West Yana"
"DOES",2018,35,"West Yana"
"DOES",2019,47,"West Yana"
"DOES",2020,96,"West Yana"
"DOES",2021,40,"West Yana"
"FAWNS",2007,33,"West Yana"
"FAWNS",2008,11,"West Yana"
"FAWNS",2009,23,"West Yana"
"FAWNS",2010,22,"West Yana"
"FAWNS",2011,46,"West Yana"
"FAWNS",2012,53,"West Yana"
"FAWNS",2013,46,"West Yana"
"FAWNS",2014,54,"West Yana"
"FAWNS",2015,74,"West Yana"
"FAWNS",2016,31,"West Yana"
"FAWNS",2017,26,"West Yana"
"FAWNS",2018,21,"West Yana"
"FAWNS",2019,30,"West Yana"
"FAWNS",2020,26,"West Yana"
"FAWNS",2021,33,"West Yana"
"TOTAL DEER",2007,77,"West Yana"
"TOTAL DEER",2008,59,"West Yana"
"TOTAL DEER",2009,91,"West Yana"
"TOTAL DEER",2010,82,"West Yana"
"TOTAL DEER",2011,173,"West Yana"
"TOTAL DEER",2012,180,"West Yana"
"TOTAL DEER",2013,208,"West Yana"
"TOTAL DEER",2014,241,"West Yana"
"TOTAL DEER",2015,287,"West Yana"
"TOTAL DEER",2016,143,"West Yana"
"TOTAL DEER",2017,118,"West Yana"
"TOTAL DEER",2018,108,"West Yana"
"TOTAL DEER",2019,135,"West Yana"
"TOTAL DEER",2020,206,"West Yana"
"TOTAL DEER",2021,147,"West Yana"
