"animal_id","date","year_cap","year_birth","cap_loc","rel_loc","sex","age","weight","dmp_past","B.C.Score","month","monthday","early.late"
"270-2010-1-005",2010-06-28,2010,2010,"West Yana","West Yana","Male",0.1,"","DMP",NA,"june","06-28",1
"270-2010-1-006",2010-07-02,2010,2010,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-02",1
"270-2010-1-007",2010-07-02,2010,2010,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-02",1
"270-2010-1-009",2010-07-02,2010,2010,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-02",1
"270-2010-1-010",2010-07-02,2010,2010,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-02",1
"270-2010-1-013",2010-07-05,2010,2010,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-05",1
"270-2010-1-014",2010-07-05,2010,2010,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-05",1
"270-2010-1-015",2010-07-05,2010,2010,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-05",1
"270-2010-1-019",2010-07-07,2010,2010,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-07",1
"270-2010-1-020",2010-07-07,2010,2010,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-07",1
"270-2010-1-021",2010-07-07,2010,2010,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-07",1
"270-2010-1-023",2010-07-07,2010,2010,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-07",1
"270-2010-1-025",2010-07-07,2010,2010,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-07",1
"270-2010-1-027",2010-07-09,2010,2010,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-09",1
"270-2010-1-028",2010-07-09,2010,2010,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-09",1
"270-2010-1-035",2010-07-16,2010,2010,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-16",1
"270-2010-1-038",2010-07-20,2010,2010,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-20",1
"270-2010-1-039",2010-07-22,2010,2010,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-22",1
"270-2010-1-084",2010-07-22,2010,2010,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-22",1
"270-2010-1-086",2010-07-26,2010,2010,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-26",1
"270-2010-1-087",2010-07-27,2010,2010,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-27",1
"270-2010-1-088",2010-07-28,2010,2010,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-28",1
"270-2010-1-089",2010-07-28,2010,2010,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-28",1
"270-2011-1-202",2011-06-30,2011,2011,"West Yana","West Yana","Male",0.1,"","DMP",NA,"june","06-30",1
"270-2011-1-206",2011-07-04,2011,2011,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-04",1
"270-2011-1-209",2011-07-05,2011,2011,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-05",1
"270-2011-1-213",2011-07-05,2011,2011,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-05",1
"270-2011-1-215",2011-07-06,2011,2011,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-06",1
"270-2011-1-224",2011-07-07,2011,2011,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-07",1
"270-2011-1-225",2011-07-07,2011,2011,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-07",1
"270-2011-1-242",2011-07-11,2011,2011,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-11",1
"270-2011-1-243",2011-07-11,2011,2011,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-11",1
"270-2011-1-244",2011-07-11,2011,2011,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-11",1
"270-2011-1-246",2011-07-11,2011,2011,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-11",1
"270-2011-1-247",2011-07-11,2011,2011,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-11",1
