"birth_year","bs","animal_id","year","status","ageclass","sum.jun.jul.aug","sum.march.apr.may","sum.sept.oct","oct","cy.rain","annual.sc","sum.march.apr.may.sc","sum.jun.jul.aug.sc","weight","bcsin","weightkg","bcscm","by.rain","by.rain.sc","cy.rain.one.prior","by.rain.one.prior","cy.rain.one.prior.sc","by.rain.one.prior.sc"
2007,"dmp","270-2007-1-012",2018,0,11,4.8,2.3,17.7,0.9,29.1,0.793773991,-1.274458078,-0.62121235,NA,NA,NA,NA,38.35,1.50791429652727,24.61,13.6,-0.0277612339191902,-1.23205983721598
2007,"dmp","270-2007-1-012",2019,1,12,4.7,3.4,3,0.3,12,-1.64541898,-0.926846878,-0.652277414,NA,NA,NA,NA,38.35,1.50791429652727,29.1,13.6,0.494855955528751,-1.23205983721598
2007,"dmp","270-2007-1-012",2020,0,13,7.8,5.7,4.6,4.8,23.1,-0.062083192,-0.200023459,0.310739583,NA,NA,NA,NA,38.35,1.50791429652727,12,13.6,-1.49551240517499,-1.23205983721598
2007,"dmp","270-2007-1-012",2021,0,14,10.1,6.2,0.3,0,19.4,-0.589861788,-0.042018368,1.025236065,NA,NA,NA,NA,38.35,1.50791429652727,23.1,13.6,-0.20351890787607,-1.23205983721598
2007,"dmp","270-2007-1-012",2022,0,15,7,7.8,4.5,2.7,21.7,-0.261783201,0.463597923,0.062219068,NA,NA,NA,NA,38.35,1.50791429652727,19.4,13.6,-0.634183406975709,-1.23205983721598
2007,"dmp","270-2007-1-051",2008,1,1,13.2,5.6,1,3,20.3,-0.46148321,-0.231624477,1.988253063,134,64.375,60.91,163.51,38.35,1.50791429652727,38.35,13.6,1.57151720327785,-1.23205983721598
2007,"dmp","270-2007-1-051",2009,1,2,4.1,5.6,8.4,1.5,20.4,-0.447218924,-0.231624477,-0.838667801,175,127,79.55,322.58,38.35,1.50791429652727,20.3,13.6,-0.529427177464986,-1.23205983721598
2007,"dmp","270-2007-1-051",2010,1,3,9.7,8.6,7.4,2.4,31.8,1.178909724,0.716406069,0.900975807,208,155,94.55,393.7,38.35,1.50791429652727,20.4,13.6,-0.517787596408239,-1.23205983721598
2007,"dmp","270-2007-1-051",2011,1,4,2.5,1.5,5.7,0,14.1,-1.345868966,-1.527266224,-1.335708832,202,162.5,91.82,412.75,38.35,1.50791429652727,31.8,13.6,0.80912464406092,-1.23205983721598
2007,"dmp","270-2007-1-051",2012,1,5,1.5,8.6,3.5,6,15.8,-1.103376098,0.716406069,-1.646359476,206,164.25,93.64,417.2,38.35,1.50791429652727,14.1,13.6,-1.2510812029833,-1.23205983721598
