"mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
1.68599704695396,8.22387545086747,-17.077568609381,-1.98507664256353,2.61158763313408,4.18489328821028,19.3478001982811,1.11168435207667,175,1,0.695925925925926
0,0,0,0,0,0,0,NA,1,0,1
0.495239400532685,9.84864910771309,-19.0898218209937,-5.98080825798196,0.593352198658207,7.40672412864945,19.2243968156886,1.00016781142574,2700,1,0.521851851851852
0.0640408112591637,10.2183859669547,-20.1317319465563,-6.87765710078421,0.277284165486506,6.93445026970856,19.7687299920261,1.00503373071183,518,1,0.506666666666667
6.70912990431911,6.99017474081003,-0.0466078806599192,-0.00363797871686559,5.27606806961385,11.2877971154955,23.0513143417826,1.88362678567719,5,1,0.725555555555556
0,0,0,0,0,0,0,NA,1,0,1
5.07874939023879,7.80056749698072,-9.97744939512973,0.200422220763815,4.60438193054169,9.90034520799622,21.561051083839,1.08821590839727,31,1,0.757777777777778
5.24977640200294,7.99382817079263,-9.83736523452149,0.38683429833766,5.02515066207109,10.187645501904,21.4984928583496,1.12714649151063,20,1,0.762962962962963
0.678099077136276,0.0423994525637371,0.635098874082726,0.646120928577299,0.654045153016693,0.731523615308137,0.748337929734682,9.6416335645296,3,0,1
0.976360044995086,0.0348376714859002,0.903119186962179,0.941157412696797,1,1,1,6.29931530133625,3,0,1
0.976351765782321,0.0348446879762759,0.903148622865925,0.941115878965011,1,1,1,6.31155695113604,3,0,1
0.976343472589037,0.0348517246149407,0.903170984951936,0.94107431768516,1,1,1,6.32383880647697,3,0,1
0.976335165609411,0.0348587815323696,0.903168428972771,0.941032728841538,1,1,1,6.33616109616146,3,0,1
0.976326845027934,0.0348658588542258,0.903165860014199,0.940991112418436,1,1,1,6.34852404556176,3,0,1
0.976318511019949,0.0348729567015922,0.903183279447903,0.940949468400142,1,1,1,6.36092787688633,3,0,1
0.976310163752154,0.0348800751911907,0.903219655350942,0.940907796770935,1,1,1,6.37337280942442,3,0,1
0.976301803383074,0.034887214435591,0.903256018956772,0.94086609751509,1,1,1,6.38585905977051,3,0,1
0.976293430063508,0.0348943745434086,0.903292275844101,0.940824370616878,1,1,1,6.39838684203035,3,0,1
0.976285043936941,0.0349015556194931,0.903328295461329,0.940782616060564,1,1,1,6.41095636801051,3,0,1
0.976276645139935,0.0349087577651067,0.903364303003977,0.940740833830408,1,1,1,6.42356784739248,3,0,1
0.976268233802497,0.0349159810780937,0.903400298475032,0.940699023910663,1,1,1,6.43622148789295,3,0,1
0.976259810048423,0.0349232256530419,0.903426388367008,0.940657186285579,1,1,1,6.44891749541125,3,0,1
0.976251373995619,0.0349304915814355,0.903443472815229,0.9406153209394,1,1,1,6.46165607416504,3,0,1
0.976242925756411,0.0349377789518001,0.903503127743124,0.940573427856366,1,1,1,6.47443742681529,3,0,1
0.976234465437826,0.0349450878498409,0.903549326607924,0.940531507020709,1,1,1,6.48726175458133,3,0,1
0.976225993141864,0.0349524183585738,0.90359785429091,0.940489558416658,1,1,1,6.50012925734681,3,0,1
0.976217508965755,0.0349597705584496,0.903621302125151,0.940447582028437,1,1,1,6.51304013375727,3,0,1
0.976209013002192,0.0349671445274728,0.903647792721655,0.940406427268122,1,1,1,6.52599458130995,3,0,1
0.976200505339565,0.0349745403413136,0.903677082777999,0.940365387299774,1,1,1,6.53899279643655,3,0,1
0.976191986062167,0.0349819580734151,0.903706364747497,0.940324320636385,1,1,1,6.55203497457923,3,0,1
0.976183455250397,0.0349893977950947,0.90373563863181,0.940283227262992,1,1,1,6.56512131026075,3,0,1
0.976174912980955,0.0349968595756409,0.903740243297414,0.940242107164629,1,1,1,6.57825199714872,3,0,1
0.976166359327012,0.0350043434824048,0.903754537064349,0.940200960326324,1,1,1,6.59142722811475,3,0,1
0.976157794358388,0.0350118495808881,0.903787706026611,0.940159786733102,1,1,1,6.60464719528877,3,0,1
0.976149218141708,0.0350193779348257,0.903820864773524,0.940118586369982,1,1,1,6.61791209010867,3,0,1
0.976140630740553,0.0350269286062653,0.903862587429276,0.940077359221977,1,1,1,6.63122210336594,3,0,1
0.976132032215606,0.0350345016556424,0.903902599598446,0.940034588913361,1,1,1,6.64457742524727,3,0,1
0.976123422624786,0.0350420971418523,0.90393939814675,0.939984003485403,1,1,1,6.65797824537258,3,0,1
0.976114802023378,0.035049715122318,0.903968231039942,0.939941692454663,1,1,1,6.67142475282963,3,0,1
0.976106170464153,0.0350573556530558,0.903997056066264,0.939899353434184,1,1,1,6.68491713620537,3,0,1
0.976097527997484,0.0350650187887367,0.90402587322732,0.939856986408117,1,1,1,6.69845558361453,3,0,1
0.976088874671457,0.0350727045827459,0.90405468252471,0.939814550662187,1,1,1,6.71204028272519,3,0,1
0.976080210531972,0.0350804130872387,0.904071543405392,0.939768295555718,1,1,1,6.72567142078191,3,0,1
0.976071535622844,0.0350881443531945,0.904087937066892,0.93972362017064,1,1,1,6.7393491846263,3,0,1
0.976062849985896,0.0350958984304677,0.904117023097448,0.939671278024376,1,1,1,6.7530737607154,3,0,1
0.976054153661046,0.0351036753678363,0.904146101088616,0.93962088795572,1,1,1,6.76684533513774,3,0,1
0.976045446686393,0.0351114752130491,0.904175171042057,0.939570821890012,1,1,1,6.78066409362759,3,0,1
0.976036729098299,0.035119298012869,0.904204232959435,0.939520716917189,1,1,1,6.79453022157692,3,0,1
0.976028000931459,0.0351271438131166,0.904233286842414,0.939470573011417,1,1,1,6.80844390404596,3,0,1
0.976019262218981,0.0351350126587094,0.904262332692657,0.939420390146856,1,1,1,6.82240532577168,3,0,1
