Month,Year,EAST YANA,WEST YANA,surv.year
Aug,2017,3,3.5,2017
Sept,2017,9.2,9.31,2017
Oct,2017,1,1.5,2017
Nov,2017,0.9,0.4,2018
Dec,2017,2.2,2.5,2018
Jan,2018,1.4,1.1,2018
Feb,2018,0.7,1,2018
Mar,2018,1.1,1.2,2018
Apr,2018,0.7,0.5,2018
May,2018,1.1,0.6,2018
Jun,2018,0.7,0.5,2018
Jul,2018,1.9,1.7,2018
Aug,2018,4.4,2.6,2018
Sept,2018,16.7,14.4,2018
Oct,2018,4.8,3.3,2018
Nov,2018,1.5,1.3,2019
Dec,2018,1.2,0.9,2019
Jan,2019,0.4,0.5,2019
Feb,2019,0,0,2019
Mar,2019,0.3,0.3,2019
Apr,2019,0.5,1.2,2019
May,2019,2.5,1.9,2019
Jun,2019,3.6,2.9,2019
Jul,2019,0.1,0.1,2019
Aug,2019,3.1,1.7,2019
Sept,2019,1.7,0.6,2019
Oct,2019,4.6,2.4,2019
Nov,2019,0.4,0.4,2020
Dec,2019,0,0,2020
Jan,2020,0.8,0.6,2020
Feb,2020,1,1.5,2020
Mar,2020,2.5,1.5,2020
Apr,2020,2.6,1.7,2020
May,2020,3.5,2.5,2020
Jun,2020,1.8,1.1,2020
Jul,2020,3.5,4.3,2020
Aug,2020,0.3,2.4,2020
Sept,2020,2.4,4.6,2020
Oct,2020,0,0,2020
Nov,2020,1.3,1.4,2021
Dec,2020,1.1,1.5,2021
Jan,2021,0.9,1.2,2021
Feb,2021,0.9,1.3,2021
Mar,2021,0.1,0.3,2021
Apr,2021,0,0,2021
May,2021,6,5.9,2021
Jun,2021,1.7,1.5,2021
Jul,2021,5.6,3.9,2021
Aug,2021,4,4.7,2021
Sept,2021,0.03,0.3,2021
Oct,2021,0,0,2021
Nov,2021,0,0,2022
Dec,2021,0.3,0.3,2022
Jan,2022,0,0,2022
Feb,2022,0.1,0.2,2022
Mar,2022,0,0,2022
Apr,2022,0.7,0.3,2022
May,2022,7.8,7.5,2022
Jun,2022,0.2,1.4,2022
Jul,2022,4.1,1.6,2022
Aug,2022,6,4,2022
Sept,2022,1,0.7,2022
Oct,2022,2.7,3.8,2022
Nov,2022,0.7,0.8,
Dec,2022,1.7,1.4,
