animal_id,date,year_cap,year_birth,cap_loc,rel_loc,sex,age,weight,dmp_past,B.C.Score,month
270-2010-1-023,7/7/2010,2010,2010,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2010-1-025,7/7/2010,2010,2010,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2010-1-027,7/9/2010,2010,2010,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2010-1-028,7/9/2010,2010,2010,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2010-1-035,7/16/2010,2010,2010,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2010-1-038,7/20/2010,2010,2010,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2010-1-039,7/22/2010,2010,2010,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2010-1-084,7/22/2010,2010,2010,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2010-1-086,7/26/2010,2010,2010,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2010-1-087,7/27/2010,2010,2010,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2010-1-088,7/28/2010,2010,2010,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2010-1-089,7/28/2010,2010,2010,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2011-1-202,6/30/2011,2011,2011,West Yana,West Yana,Male,0.1,,DMP,NA,june
270-2011-1-206,7/4/2011,2011,2011,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2011-1-209,7/5/2011,2011,2011,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2011-1-213,7/5/2011,2011,2011,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2011-1-215,7/6/2011,2011,2011,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2011-1-224,7/7/2011,2011,2011,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2011-1-225,7/7/2011,2011,2011,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2011-1-242,7/11/2011,2011,2011,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2011-1-243,7/11/2011,2011,2011,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2011-1-244,7/11/2011,2011,2011,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2011-1-246,7/11/2011,2011,2011,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2011-1-247,7/11/2011,2011,2011,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2011-1-248,7/11/2011,2011,2011,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2011-1-249,7/11/2011,2011,2011,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2011-1-250,7/11/2011,2011,2011,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2011-1-260,7/13/2011,2011,2011,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2011-1-261,7/13/2011,2011,2011,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2011-1-266,7/14/2011,2011,2011,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2011-1-268,7/15/2011,2011,2011,West Yana,West Yana,Male,0.1,,DMP,NA,july
