"mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
0,0,0,0,0,0,0,NA,1,0,1
2.2351281758149,0.103327632752829,2.03625206623321,2.16522021570371,2.23172188385724,2.30297345689266,2.44530536614358,1.00388076754791,500,0,1
2.30670694596639,0.169066871459787,1.9974039688735,2.18820505183101,2.29977872166442,2.41280575220033,2.65431209870178,1.00405177126235,586,0,1
-0.172846945254233,0.070408163712731,-0.314050577207102,-0.220275186744323,-0.172230099337788,-0.125036998409328,-0.0370169932353756,1.00064665234802,2347,0,0.994074074074074
0,0,0,0,0,0,0,NA,1,0,1
0.399872357795449,0.120520359134465,0.159898963604147,0.320367493532805,0.401073437288295,0.481486827790283,0.643895427401207,1.00441639439271,490,0,1
0.621037321262119,0.202041841992359,0.235587982225839,0.483813036929183,0.619673939229418,0.759134748150832,1.02683485004168,1.00254557602652,746,0,0.998518518518518
0.959667880236745,0.00441924674430041,0.950241350169987,0.956796119425933,0.959887228520977,0.962822239952823,0.967717030694167,0.999986161149736,2700,0,1
0.57039391059638,0.0282873643343943,0.51522241003207,0.5512538994444,0.570377296161814,0.589632163970729,0.626386239372288,1.0006570993809,2308,0,1
0.570215459426374,0.0282176007962157,0.515183069495022,0.551122284998508,0.570197706343348,0.589405356509157,0.626073459764999,1.00065704539886,2308,0,1
0.570036981001387,0.0281478118750523,0.515143728769812,0.550990663392913,0.570018098046377,0.589178511032702,0.625760574750459,1.00065699155657,2308,0,1
0.56985847538451,0.028077997625137,0.515104387856926,0.55085903464566,0.569838471316285,0.588951627631471,0.625447584554873,1.00065693785404,2308,0,1
0.569679942638888,0.0280081581007853,0.51506504675685,0.5507273987748,0.569658826198478,0.588724706395635,0.625134489404786,1.00065688429127,2309,0,1
0.569501382827723,0.0279382933563954,0.515025705470071,0.550595755798386,0.569479162738379,0.588497747415427,0.624821289527084,1.00065683086827,2309,0,1
0.56932279601427,0.0278684034464477,0.514986363997076,0.550464105734476,0.569299480981431,0.588270750781144,0.624507985148989,1.00065677758504,2309,0,1
0.569144182261842,0.027798488425505,0.514947022338351,0.550332448601131,0.569119780973094,0.588043716583144,0.624194576498064,1.00065672444158,2309,0,1
0.568965541633806,0.0277285483482124,0.514907680494383,0.550200784416416,0.568940062758851,0.587816644911851,0.623881063802208,1.0006566714379,2309,0,1
0.568786874193584,0.0276585832692968,0.514868338465659,0.550069113198402,0.568760326384201,0.58758953585775,0.623567447289658,1.000656618574,2310,0,1
0.568608180004653,0.027588593243567,0.514828996252666,0.549937434965161,0.568580571894663,0.587362389511389,0.623253727188988,1.00065656584988,2310,0,1
0.568429459130545,0.0275185783259139,0.51478965385589,0.549805749734771,0.568400799335775,0.587135205963378,0.622939903729107,1.00065651326555,2310,0,1
0.568250711634848,0.0274485385713096,0.514750311275817,0.549674057525313,0.568221008753093,0.58690798530439,0.62262597713926,1.00065646082101,2310,0,1
0.568071937581203,0.027378474034808,0.514710968512936,0.549542358354871,0.568041200192192,0.58668072762516,0.622311947649028,1.00065640851626,2310,0,1
0.567893137033305,0.0273083847715444,0.514671625567732,0.549410652241536,0.567861373698667,0.586453433016486,0.621997815488324,1.0006563563513,2311,0,1
0.567714310054907,0.0272382708367353,0.514632282440692,0.549278939203399,0.56768152931813,0.586226101569225,0.621683580887398,1.00065630432615,2311,0,1
0.567535456709813,0.0271681322856782,0.514592939132303,0.549147219258558,0.567501667096213,0.585998733374301,0.621369244076829,1.00065625244079,2311,0,1
0.567356577061883,0.0270979691737519,0.514553595643052,0.549015492425113,0.567321787078567,0.585771328522694,0.621054805287532,1.00065620069525,2311,0,1
0.567177671175029,0.0270277815564157,0.514514251973426,0.548883758721168,0.56714188931086,0.585543887105448,0.620740264750753,1.00065614908951,2311,0,1
0.566998739113221,0.0269575694892099,0.514474908123911,0.548752018164832,0.566961973838779,0.585316409213671,0.620425622698069,1.00065609762357,2311,0,1
0.566819780940478,0.0268873330277554,0.514435564094994,0.548620270774216,0.56678204070803,0.585088894938528,0.620110879361388,1.00065604629746,2312,0,1
0.566640796720877,0.0268170722277534,0.514396219887162,0.548488516567436,0.566602089964338,0.584861344371248,0.619796034972949,1.00065599511115,2312,0,1
0.566461786518547,0.0267467871449856,0.514356875500902,0.548356755562613,0.566422121653445,0.584633757603118,0.61948108976532,1.00065594406467,2312,0,1
0.566282750397671,0.0266764778353138,0.5143175309367,0.548224987777869,0.566242135821112,0.58440613472549,0.619166043971398,1.00065589315801,2312,0,1
0.566103688422485,0.0266061443546798,0.514278186195044,0.548093213231332,0.566062132513119,0.584178475829774,0.618850897824408,1.00065584239117,2312,0,1
0.565924600657278,0.0265357867591056,0.51423884127642,0.547961431941132,0.565882111775264,0.58395078100744,0.618535651557905,1.00065579176416,2313,0,1
0.565745487166395,0.0264654051046927,0.514199496181316,0.547829643925405,0.565702073653361,0.583723050350021,0.618220305405769,1.00065574127698,2313,0,1
0.56556634801423,0.0263949994476225,0.514160150910217,0.547697849202289,0.565522018193246,0.583495283949108,0.617904859602206,1.00065569092962,2313,0,1
0.565387183265234,0.0263245698441556,0.514120805463612,0.547566047789926,0.56534194544077,0.583267481896353,0.617589314381752,1.00065564072211,2313,0,1
0.565207992983908,0.0262541163506322,0.514081459841986,0.547434239706462,0.565161855441804,0.583039644283469,0.617273669979264,1.00065559065442,2313,0,1
0.565028777234809,0.0261836390234719,0.514042114045827,0.547302424970047,0.564981748242237,0.582811771202226,0.616957926629927,1.00065554072658,2313,0,1
