"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"int",3.17172159817015,0.279716622369747,2.67388046653506,2.98965894036604,3.161346738066,3.34705065813669,3.73216568169242,1.01029650611081,313,0,1
"beta1[1]",0,0,0,0,0,0,0,NA,1,0,1
"beta1[2]",-0.17703548969936,0.343182114774566,-0.84379632057468,-0.400017251835441,-0.171160296928494,0.0504229559402847,0.458961787789449,1.00486098136773,591,1,0.695833333333333
"beta1[3]",-0.0796232182446905,0.360501902057809,-0.790423321300712,-0.304282324074695,-0.0870282323609662,0.151609954876818,0.613035202020599,1.00288358966659,1114,1,0.596666666666667
"beta1[4]",-0.639802723130569,0.323656412410849,-1.27969898829174,-0.838577247343489,-0.628068429457993,-0.435773134229725,-0.0207424848267851,1.00325067947879,1200,0,0.976666666666667
"beta1[5]",-0.253886332421601,0.361451449883457,-0.924442807452922,-0.501758687935351,-0.257013092558998,-0.00908947585587715,0.448552759950128,1.00224047254327,684,1,0.759166666666667
"beta1[6]",-0.805383948828365,0.358032799897545,-1.54549806863076,-1.03786975221225,-0.809579058987651,-0.564404748499077,-0.130742208022203,1.00204142975047,981,0,0.9875
"beta1[7]",-1.90238568185029,0.311503358904807,-2.50899920817312,-2.10178438132636,-1.8869118746282,-1.68931015453984,-1.33244059873179,1.00896673461526,270,0,1
"beta1[8]",-1.60752925783192,0.362150163376592,-2.32348614803818,-1.84635072631026,-1.5987001264882,-1.3782473465957,-0.911650254144973,1.01090276780311,224,0,1
"beta1[9]",-2.30120431652437,0.363882495321331,-2.9903101186726,-2.54018105776665,-2.29886173491692,-2.05076086147946,-1.62140488146635,1.00922102744179,406,0,1
"beta1[10]",-3.07326442309042,0.40701863250958,-3.89046382344299,-3.33138893104373,-3.06680459064434,-2.79368235067502,-2.31443702376253,1.00158348911309,1200,0,1
"beta1[11]",-4.05567769543129,0.562167022048123,-5.13662371219874,-4.39959007623193,-4.04466847750926,-3.67320601028945,-3.02531058242209,1.00522613468361,335,0,1
"beta1[12]",-10.6060596752214,5.42443107449563,-24.3045411376012,-13.3122182191737,-9.47887505206715,-6.67488621521849,-3.3207946988603,0.999793789304035,1200,0,0.999166666666667
"beta1[13]",0.184332985226958,9.77299161684608,-18.9473460718096,-5.96041866894456,0.721085869034741,6.38025636884232,19.8512726877928,0.999618015980261,1200,1,0.528333333333333
"beta1[14]",0.1916847977236,9.87907993245732,-19.4522904816484,-6.31291895345369,0.110495154554689,6.70823648174368,19.6854381106163,1.00174124073916,1200,1,0.506666666666667
"beta1[15]",0.314015414653578,9.94836495724659,-19.68524812032,-6.27515764470957,0.367941752568722,6.78282944542278,19.2639424086719,1.00021458343286,1200,1,0.515
"eps1[1]",0,0,0,0,0,0,0,NA,1,0,1
"eps1[2]",-0.0986303819780478,0.223930799689331,-0.563159845171983,-0.243430913209418,-0.0939779566903292,0.0520518871787482,0.336691435196802,0.998856562856318,1200,1,0.665
"eps1[3]",0.264384072962529,0.232109388582112,-0.151572244687966,0.102765205625922,0.259360271453065,0.41241435630068,0.732360212166199,1.00107288228263,1200,1,0.874166666666667
"eps1[4]",0.468410637861321,0.238776981985565,0.0249268675224366,0.308750877120144,0.460350392223602,0.627422097370232,0.959660190525086,1.00275344879845,823,0,0.9825
"eps1[5]",0.322217604884235,0.215723763371144,-0.0824127776516188,0.16704301851149,0.314718625563601,0.46744780787456,0.766079004305131,1.00472599670105,430,1,0.946666666666667
"eps1[6]",-0.13200171873569,0.202947080123438,-0.537390783368664,-0.270197622524501,-0.130588844163066,0.00547179119693403,0.262243185623198,1.00079643094209,1200,1,0.743333333333333
"eps1[7]",-0.347295528553993,0.225753387911351,-0.820262298002515,-0.493553751324842,-0.335040195138454,-0.191944051570735,0.0611965529120942,1.00060964147176,1200,1,0.95
"eps1[8]",-0.231091441982291,0.228335765449493,-0.664498420701524,-0.389238621892536,-0.22298605247582,-0.0763077210581144,0.186009724948803,1.00308406671365,484,1,0.846666666666667
"eps1[9]",-0.34379730693318,0.262725081574027,-0.91852762873875,-0.500394633226303,-0.331887880017139,-0.163157550563857,0.140174927031421,1.00029150765154,1200,1,0.915
"eps1[10]",-0.315669830639427,0.291552473732909,-0.884774690444375,-0.510436933616765,-0.305302009975764,-0.110849790719178,0.222772852272723,1.00136524719516,1042,1,0.860833333333333
"eps1[11]",0.26810738957731,0.367706098801723,-0.359141195499749,0.0153609290248344,0.218011392520931,0.481316097086536,1.11002701315848,1.00095812393802,1200,1,0.77
"eps1[12]",0.0382147569903469,0.34806126202353,-0.680293459671557,-0.186434712154599,0.0388689239478927,0.258843536186444,0.736492066036927,1.0004627567402,1200,1,0.545
"eps1[13]",-0.25031865223345,0.354222592814517,-1.02038994164397,-0.470553161386632,-0.226552679577707,-0.00589716998505915,0.368849885219806,1.00019625347385,1200,1,0.755
"eps1[14]",-0.109795018422581,0.41512000087479,-0.972215053036132,-0.338359326325324,-0.0971491764683058,0.123507487935961,0.722240310164991,1.00040011908992,1200,1,0.614166666666667
"phi.age[1]",0.95841285866488,0.0106168008734387,0.935467680063308,0.952104759787508,0.959353491536637,0.966008113748393,0.976618835541533,1.01280346563143,213,0,1
"phi.age[2]",0.951001738051167,0.0117596199746853,0.924963510756638,0.944184820475392,0.951811174964003,0.958961694091639,0.971364580969846,1.0053035251845,429,0,1
"phi.age[3]",0.954951197396336,0.0123706971772091,0.92710278480739,0.947948357169526,0.955981308580814,0.963308915324189,0.976102340832988,0.999829532752548,1200,0,1
"phi.age[4]",0.924748784188722,0.0162804296478559,0.889768338009766,0.914402107195292,0.925946648586064,0.936228473565503,0.952785054754704,1.00204473633104,633,0,1
"phi.age[5]",0.946778416190361,0.0146969950048179,0.915473484486677,0.937451405035544,0.947735136090896,0.957101575590975,0.972345806329801,0.99916163899667,1200,0,1
"phi.age[6]",0.911706575945684,0.022078169749449,0.864560226036936,0.897472649220631,0.913532986008295,0.927036087794288,0.950517426202523,0.999282958764153,1200,0,1
"phi.age[7]",0.778620768652669,0.0348566882768403,0.708972129629289,0.755527771248524,0.779773141902291,0.801778601202555,0.844901464313977,1.0007801236222,1030,0,1
"phi.age[8]",0.823412226936677,0.0392856148708532,0.743760629253211,0.798822766987146,0.824115709955451,0.850096568694844,0.900072481123309,1.00061129770326,1200,0,1
"phi.age[9]",0.701759495678471,0.0560465629672567,0.588134779660702,0.66341376396344,0.703428205518863,0.742007931964397,0.801222654074969,1.00143371909962,1200,0,1
"phi.age[10]",0.52394738642477,0.076497121420677,0.375724240488378,0.470289357190448,0.524650235465672,0.573600232276785,0.676537236322536,1.0017325244372,737,0,1
"phi.age[11]",0.302413482729968,0.101198609451645,0.128101458628963,0.229272541960076,0.295337255302525,0.36516461400982,0.520004525891769,1.00040676918723,1200,0,1
"phi.age[12]",0.0489584115798518,0.120689857348599,7.56446467465492e-10,4.00140132680338e-05,0.0018955929063929,0.031087058563962,0.458230453614557,1.02258741503886,482,0,1
"phi.year[1]",0.95841285866488,0.0106168008734387,0.935467680063308,0.952104759787508,0.959353491536637,0.966008113748393,0.976618835541533,1.01280346563143,213,0,1
"phi.year[2]",0.953889287988666,0.0135343763693444,0.924110433846079,0.945774081246054,0.955458607005506,0.963300475734261,0.976579888738927,1.0085152861359,315,0,1
"phi.year[3]",0.967239089502039,0.0102690170019611,0.944963941071528,0.961254863511458,0.968173049535363,0.974890221272286,0.984294362231495,1.00736809900942,427,0,1
"phi.year[4]",0.972998354505109,0.00891915406618112,0.952867290223673,0.967615363628981,0.974014008116853,0.979525742866393,0.987538971618279,1.00533719875208,821,0,1
"phi.year[5]",0.96919092089051,0.00913009263056105,0.948764094482945,0.96343450356112,0.969933657852536,0.975729984940105,0.984477833898667,1.00995124788407,263,0,1
"phi.year[6]",0.952705342014414,0.0127901943845097,0.923410385403056,0.94468255551949,0.95417243524412,0.961604009465516,0.973857129662562,1.01660364514199,182,0,1
"phi.year[7]",0.941796325655643,0.0164958643678726,0.903688010563643,0.931841763655514,0.943262274635459,0.953445461398646,0.969136255605979,1.00366218913514,452,0,1
"phi.year[8]",0.947770981079422,0.0149621596945805,0.913074245256544,0.93865749678572,0.949143404430002,0.957976582929182,0.973328951580203,1.00119397169523,910,0,1
"phi.year[9]",0.941716575961033,0.0178822556165006,0.900843455165237,0.931652679044916,0.943892221820749,0.953717695311637,0.970377902377423,1.00447213306501,380,0,1
"phi.year[10]",0.943052556902377,0.0177885961457356,0.90285590700584,0.932600582479924,0.94525039671355,0.955667185261602,0.971021109505319,1.00941880151552,208,0,1
"phi.year[11]",0.966062968887035,0.0137878353719704,0.937130689983465,0.957771576852066,0.967348782084822,0.976244147491029,0.989396435959719,1.01120429634223,258,0,1
"phi.year[12]",0.95824092859706,0.0163578261401344,0.918926859422078,0.949223731021913,0.960371058591755,0.970384667269484,0.983335302754101,1.00686566967108,274,0,1
"phi.year[13]",0.9452606499268,0.021090890351989,0.895031596498986,0.934287373542294,0.948424278231376,0.9600581880823,0.975963873004697,1.00109360584638,1200,0,1
"phi.year[14]",0.950725121939407,0.0232544503016993,0.895594131632137,0.939286163565498,0.955029405735465,0.966283013874483,0.982849187364623,1.0034576280681,1200,0,1
"deviance",838.421262492943,30.0639397755376,782.8357509801,815.884697534036,838.170563236383,859.595249854895,893.617012567817,1.00610266696446,577,0,1
