"","pD","DIC"
"m1",498.336090076511,1334.13207275925
"m2",457.900965434173,1293.18668229393
"m3",487.125427471934,1320.77884575231
"m4",461.538787138831,1294.96499848802
"m5",594.699400580352,1460.06811119988
"m6",475.194059479412,1308.68481067652
"m7",436.218239649686,1271.2315796248
