"","rain.age","rain.age.ran.year","rain.ran.age","totalrain","springrain","summerrain"
"waic",1012.1,1029.9,1009.8,1043.9,1064.1,1056.7
"p_waic",171.3,176.5,170.3,187.5,196.3,193.7
