animal_id,birth_year,bs,year,status,ageclass,sum.jun.jul.aug,sum.march.apr.may,sum.sept.oct,oct,annual,annual.sc,sum.march.apr.may.sc,sum.jun.jul.aug.sc,weight,bcsin,weightkg,bcscm
270-2007-1-006,2007,dmp,2017,1,10,5.6,4.6,10.81,0,24.61,0.153307533,-0.54763466,-0.372691834,178,146,80.91,370.84
270-2007-1-006,2007,dmp,2018,0,11,4.8,2.3,17.7,0.9,29.1,0.793773991,-1.274458078,-0.62121235,NA,NA,NA,NA
270-2007-1-006,2007,dmp,2019,0,12,4.7,3.4,3,0.3,12,-1.64541898,-0.926846878,-0.652277414,NA,NA,NA,NA
270-2007-1-006,2007,dmp,2020,0,13,7.8,5.7,4.6,4.8,23.1,-0.062083192,-0.200023459,0.310739583,NA,NA,NA,NA
270-2007-1-006,2007,dmp,2021,0,14,10.1,6.2,0.3,0,19.4,-0.589861788,-0.042018368,1.025236065,NA,NA,NA,NA
270-2007-1-006,2007,dmp,2022,0,15,7,7.8,4.5,2.7,21.7,-0.261783201,0.463597923,0.062219068,NA,NA,NA,NA
270-2007-1-007,2007,dmp,2008,1,1,13.2,5.6,1,3,20.3,-0.46148321,-0.231624477,1.988253063,147,68.5,66.82,173.99
270-2007-1-007,2007,dmp,2009,1,2,4.1,5.6,8.4,1.5,20.4,-0.447218924,-0.231624477,-0.838667801,173,109.375,78.64,277.81
270-2007-1-007,2007,dmp,2010,1,3,9.7,8.6,7.4,2.4,31.8,1.178909724,0.716406069,0.900975807,210,126,95.45,320.04
270-2007-1-007,2007,dmp,2011,1,4,2.5,1.5,5.7,0,14.1,-1.345868966,-1.527266224,-1.335708832,209,129.75,95.00,329.57
270-2007-1-007,2007,dmp,2012,1,5,1.5,8.6,3.5,6,15.8,-1.103376098,0.716406069,-1.646359476,215,143.25,97.73,363.86
270-2007-1-007,2007,dmp,2013,0,6,12,7.8,10,5,34.5,1.564045456,0.463597923,1.615472289,NA,NA,NA,NA
270-2007-1-007,2007,dmp,2014,1,7,7.7,2.9,6.7,2.4,22.1,-0.204726055,-1.084851969,0.279674519,238,142.25,108.18,361.32
270-2007-1-007,2007,dmp,2015,1,8,4.4,12.4,5,0.3,29.1,0.793773991,1.917244761,-0.745472608,206,139.375,93.64,354.01
270-2007-1-007,2007,dmp,2016,0,9,4.5,7.9,1.3,0,20.2,-0.475747497,0.495198941,-0.714407543,NA,NA,NA,NA
270-2007-1-007,2007,dmp,2017,0,10,5.6,4.6,10.81,0,24.61,0.153307533,-0.54763466,-0.372691834,NA,NA,NA,NA
270-2007-1-007,2007,dmp,2018,0,11,4.8,2.3,17.7,0.9,29.1,0.793773991,-1.274458078,-0.62121235,NA,NA,NA,NA
270-2007-1-007,2007,dmp,2019,0,12,4.7,3.4,3,0.3,12,-1.64541898,-0.926846878,-0.652277414,NA,NA,NA,NA
270-2007-1-007,2007,dmp,2020,0,13,7.8,5.7,4.6,4.8,23.1,-0.062083192,-0.200023459,0.310739583,NA,NA,NA,NA
270-2007-1-007,2007,dmp,2021,0,14,10.1,6.2,0.3,0,19.4,-0.589861788,-0.042018368,1.025236065,NA,NA,NA,NA
270-2007-1-007,2007,dmp,2022,0,15,7,7.8,4.5,2.7,21.7,-0.261783201,0.463597923,0.062219068,NA,NA,NA,NA
270-2007-1-011,2007,dmp,2008,0,1,13.2,5.6,1,3,20.3,-0.46148321,-0.231624477,1.988253063,NA,NA,NA,NA
270-2007-1-011,2007,dmp,2009,1,2,4.1,5.6,8.4,1.5,20.4,-0.447218924,-0.231624477,-0.838667801,165,54.25,75.00,137.80
270-2007-1-011,2007,dmp,2010,1,3,9.7,8.6,7.4,2.4,31.8,1.178909724,0.716406069,0.900975807,190,104.75,86.36,266.07
270-2007-1-011,2007,dmp,2011,1,4,2.5,1.5,5.7,0,14.1,-1.345868966,-1.527266224,-1.335708832,196,116.75,89.09,296.55
270-2007-1-011,2007,dmp,2012,1,5,1.5,8.6,3.5,6,15.8,-1.103376098,0.716406069,-1.646359476,NA,NA,NA,NA
270-2007-1-011,2007,dmp,2013,1,6,12,7.8,10,5,34.5,1.564045456,0.463597923,1.615472289,198,118.625,90.00,301.31
270-2007-1-011,2007,dmp,2014,1,7,7.7,2.9,6.7,2.4,22.1,-0.204726055,-1.084851969,0.279674519,208,123.75,94.55,314.33
270-2007-1-011,2007,dmp,2015,0,8,4.4,12.4,5,0.3,29.1,0.793773991,1.917244761,-0.745472608,NA,NA,NA,NA
270-2007-1-011,2007,dmp,2016,0,9,4.5,7.9,1.3,0,20.2,-0.475747497,0.495198941,-0.714407543,NA,NA,NA,NA
270-2007-1-011,2007,dmp,2017,0,10,5.6,4.6,10.81,0,24.61,0.153307533,-0.54763466,-0.372691834,NA,NA,NA,NA
270-2007-1-011,2007,dmp,2018,0,11,4.8,2.3,17.7,0.9,29.1,0.793773991,-1.274458078,-0.62121235,NA,NA,NA,NA
270-2007-1-011,2007,dmp,2019,0,12,4.7,3.4,3,0.3,12,-1.64541898,-0.926846878,-0.652277414,NA,NA,NA,NA
270-2007-1-011,2007,dmp,2020,0,13,7.8,5.7,4.6,4.8,23.1,-0.062083192,-0.200023459,0.310739583,NA,NA,NA,NA
270-2007-1-011,2007,dmp,2021,0,14,10.1,6.2,0.3,0,19.4,-0.589861788,-0.042018368,1.025236065,NA,NA,NA,NA
270-2007-1-011,2007,dmp,2022,0,15,7,7.8,4.5,2.7,21.7,-0.261783201,0.463597923,0.062219068,NA,NA,NA,NA
270-2007-1-012,2007,dmp,2008,1,1,13.2,5.6,1,3,20.3,-0.46148321,-0.231624477,1.988253063,125,19.5,56.82,49.53
270-2007-1-012,2007,dmp,2009,1,2,4.1,5.6,8.4,1.5,20.4,-0.447218924,-0.231624477,-0.838667801,165,96.5,75.00,245.11
270-2007-1-012,2007,dmp,2010,1,3,9.7,8.6,7.4,2.4,31.8,1.178909724,0.716406069,0.900975807,NA,NA,NA,NA
270-2007-1-012,2007,dmp,2011,1,4,2.5,1.5,5.7,0,14.1,-1.345868966,-1.527266224,-1.335708832,201,135.375,91.36,343.85
270-2007-1-012,2007,dmp,2012,1,5,1.5,8.6,3.5,6,15.8,-1.103376098,0.716406069,-1.646359476,NA,NA,NA,NA
270-2007-1-012,2007,dmp,2013,0,6,12,7.8,10,5,34.5,1.564045456,0.463597923,1.615472289,NA,NA,NA,NA
270-2007-1-012,2007,dmp,2014,1,7,7.7,2.9,6.7,2.4,22.1,-0.204726055,-1.084851969,0.279674519,NA,NA,NA,NA
270-2007-1-012,2007,dmp,2015,1,8,4.4,12.4,5,0.3,29.1,0.793773991,1.917244761,-0.745472608,209,148.25,95.00,376.56
270-2007-1-012,2007,dmp,2016,1,9,4.5,7.9,1.3,0,20.2,-0.475747497,0.495198941,-0.714407543,208,135,94.55,342.90
270-2007-1-012,2007,dmp,2017,1,10,5.6,4.6,10.81,0,24.61,0.153307533,-0.54763466,-0.372691834,189,132.625,85.91,336.87
270-2007-1-012,2007,dmp,2018,0,11,4.8,2.3,17.7,0.9,29.1,0.793773991,-1.274458078,-0.62121235,NA,NA,NA,NA
270-2007-1-012,2007,dmp,2019,1,12,4.7,3.4,3,0.3,12,-1.64541898,-0.926846878,-0.652277414,NA,NA,NA,NA
270-2007-1-012,2007,dmp,2020,0,13,7.8,5.7,4.6,4.8,23.1,-0.062083192,-0.200023459,0.310739583,NA,NA,NA,NA
270-2007-1-012,2007,dmp,2021,0,14,10.1,6.2,0.3,0,19.4,-0.589861788,-0.042018368,1.025236065,NA,NA,NA,NA
270-2007-1-012,2007,dmp,2022,0,15,7,7.8,4.5,2.7,21.7,-0.261783201,0.463597923,0.062219068,NA,NA,NA,NA
270-2007-1-051,2007,dmp,2008,1,1,13.2,5.6,1,3,20.3,-0.46148321,-0.231624477,1.988253063,134,64.375,60.91,163.51
270-2007-1-051,2007,dmp,2009,1,2,4.1,5.6,8.4,1.5,20.4,-0.447218924,-0.231624477,-0.838667801,175,127,79.55,322.58
270-2007-1-051,2007,dmp,2010,1,3,9.7,8.6,7.4,2.4,31.8,1.178909724,0.716406069,0.900975807,208,155,94.55,393.70
270-2007-1-051,2007,dmp,2011,1,4,2.5,1.5,5.7,0,14.1,-1.345868966,-1.527266224,-1.335708832,202,162.5,91.82,412.75
270-2007-1-051,2007,dmp,2012,1,5,1.5,8.6,3.5,6,15.8,-1.103376098,0.716406069,-1.646359476,206,164.25,93.64,417.20
270-2007-1-051,2007,dmp,2013,1,6,12,7.8,10,5,34.5,1.564045456,0.463597923,1.615472289,217,171,98.64,434.34
270-2007-1-051,2007,dmp,2014,1,7,7.7,2.9,6.7,2.4,22.1,-0.204726055,-1.084851969,0.279674519,220,187.75,100.00,476.89
270-2007-1-051,2007,dmp,2015,1,8,4.4,12.4,5,0.3,29.1,0.793773991,1.917244761,-0.745472608,NA,NA,NA,NA
270-2007-1-051,2007,dmp,2016,1,9,4.5,7.9,1.3,0,20.2,-0.475747497,0.495198941,-0.714407543,213,181,96.82,459.74
270-2007-1-051,2007,dmp,2017,1,10,5.6,4.6,10.81,0,24.61,0.153307533,-0.54763466,-0.372691834,184,178.125,83.64,452.44
270-2007-1-051,2007,dmp,2018,0,11,4.8,2.3,17.7,0.9,29.1,0.793773991,-1.274458078,-0.62121235,NA,NA,NA,NA
270-2007-1-051,2007,dmp,2019,0,12,4.7,3.4,3,0.3,12,-1.64541898,-0.926846878,-0.652277414,NA,NA,NA,NA
270-2007-1-051,2007,dmp,2020,0,13,7.8,5.7,4.6,4.8,23.1,-0.062083192,-0.200023459,0.310739583,NA,NA,NA,NA
270-2007-1-051,2007,dmp,2021,0,14,10.1,6.2,0.3,0,19.4,-0.589861788,-0.042018368,1.025236065,NA,NA,NA,NA
270-2007-1-051,2007,dmp,2022,0,15,7,7.8,4.5,2.7,21.7,-0.261783201,0.463597923,0.062219068,NA,NA,NA,NA
270-2007-1-053,2007,dmp,2008,1,1,13.2,5.6,1,3,20.3,-0.46148321,-0.231624477,1.988253063,136,47.625,61.82,120.97
270-2007-1-053,2007,dmp,2009,1,2,4.1,5.6,8.4,1.5,20.4,-0.447218924,-0.231624477,-0.838667801,168,88.875,76.36,225.74
270-2007-1-053,2007,dmp,2010,0,3,9.7,8.6,7.4,2.4,31.8,1.178909724,0.716406069,0.900975807,NA,NA,NA,NA
270-2007-1-053,2007,dmp,2011,0,4,2.5,1.5,5.7,0,14.1,-1.345868966,-1.527266224,-1.335708832,NA,NA,NA,NA
270-2007-1-053,2007,dmp,2012,0,5,1.5,8.6,3.5,6,15.8,-1.103376098,0.716406069,-1.646359476,NA,NA,NA,NA
270-2007-1-053,2007,dmp,2013,0,6,12,7.8,10,5,34.5,1.564045456,0.463597923,1.615472289,NA,NA,NA,NA
270-2007-1-053,2007,dmp,2014,0,7,7.7,2.9,6.7,2.4,22.1,-0.204726055,-1.084851969,0.279674519,NA,NA,NA,NA
270-2007-1-053,2007,dmp,2015,0,8,4.4,12.4,5,0.3,29.1,0.793773991,1.917244761,-0.745472608,NA,NA,NA,NA
270-2007-1-053,2007,dmp,2016,0,9,4.5,7.9,1.3,0,20.2,-0.475747497,0.495198941,-0.714407543,NA,NA,NA,NA
270-2007-1-053,2007,dmp,2017,0,10,5.6,4.6,10.81,0,24.61,0.153307533,-0.54763466,-0.372691834,NA,NA,NA,NA
270-2007-1-053,2007,dmp,2018,0,11,4.8,2.3,17.7,0.9,29.1,0.793773991,-1.274458078,-0.62121235,NA,NA,NA,NA
270-2007-1-053,2007,dmp,2019,0,12,4.7,3.4,3,0.3,12,-1.64541898,-0.926846878,-0.652277414,NA,NA,NA,NA
270-2007-1-053,2007,dmp,2020,0,13,7.8,5.7,4.6,4.8,23.1,-0.062083192,-0.200023459,0.310739583,NA,NA,NA,NA
270-2007-1-053,2007,dmp,2021,0,14,10.1,6.2,0.3,0,19.4,-0.589861788,-0.042018368,1.025236065,NA,NA,NA,NA
270-2007-1-053,2007,dmp,2022,0,15,7,7.8,4.5,2.7,21.7,-0.261783201,0.463597923,0.062219068,NA,NA,NA,NA
270-2007-1-056,2007,dmp,2008,1,1,13.2,5.6,1,3,20.3,-0.46148321,-0.231624477,1.988253063,132,26.875,60.00,68.26
270-2007-1-056,2007,dmp,2009,1,2,4.1,5.6,8.4,1.5,20.4,-0.447218924,-0.231624477,-0.838667801,167,99.375,75.91,252.41
270-2007-1-056,2007,dmp,2010,1,3,9.7,8.6,7.4,2.4,31.8,1.178909724,0.716406069,0.900975807,198,145.125,90.00,368.62
270-2007-1-056,2007,dmp,2011,1,4,2.5,1.5,5.7,0,14.1,-1.345868966,-1.527266224,-1.335708832,200,151.375,90.91,384.49
270-2007-1-056,2007,dmp,2012,1,5,1.5,8.6,3.5,6,15.8,-1.103376098,0.716406069,-1.646359476,209,163.25,95.00,414.66
270-2007-1-056,2007,dmp,2013,1,6,12,7.8,10,5,34.5,1.564045456,0.463597923,1.615472289,210,176.125,95.45,447.36
270-2007-1-056,2007,dmp,2014,1,7,7.7,2.9,6.7,2.4,22.1,-0.204726055,-1.084851969,0.279674519,216,189.125,98.18,480.38
270-2007-1-056,2007,dmp,2015,1,8,4.4,12.4,5,0.3,29.1,0.793773991,1.917244761,-0.745472608,172,194.375,78.18,493.71
270-2007-1-056,2007,dmp,2016,1,9,4.5,7.9,1.3,0,20.2,-0.475747497,0.495198941,-0.714407543,188,188,85.45,477.52
270-2007-1-056,2007,dmp,2017,0,10,5.6,4.6,10.81,0,24.61,0.153307533,-0.54763466,-0.372691834,NA,NA,NA,NA
270-2007-1-056,2007,dmp,2018,0,11,4.8,2.3,17.7,0.9,29.1,0.793773991,-1.274458078,-0.62121235,NA,NA,NA,NA
270-2007-1-056,2007,dmp,2019,0,12,4.7,3.4,3,0.3,12,-1.64541898,-0.926846878,-0.652277414,NA,NA,NA,NA
270-2007-1-056,2007,dmp,2020,0,13,7.8,5.7,4.6,4.8,23.1,-0.062083192,-0.200023459,0.310739583,NA,NA,NA,NA
270-2007-1-056,2007,dmp,2021,0,14,10.1,6.2,0.3,0,19.4,-0.589861788,-0.042018368,1.025236065,NA,NA,NA,NA
270-2007-1-056,2007,dmp,2022,0,15,7,7.8,4.5,2.7,21.7,-0.261783201,0.463597923,0.062219068,NA,NA,NA,NA
270-2007-1-057,2007,dmp,2008,1,1,13.2,5.6,1,3,20.3,-0.46148321,-0.231624477,1.988253063,95,20.125,43.18,51.12
270-2007-1-057,2007,dmp,2009,1,2,4.1,5.6,8.4,1.5,20.4,-0.447218924,-0.231624477,-0.838667801,131,81.125,59.55,206.06
270-2007-1-057,2007,dmp,2010,1,3,9.7,8.6,7.4,2.4,31.8,1.178909724,0.716406069,0.900975807,155,111.5,70.45,283.21
270-2007-1-057,2007,dmp,2011,1,4,2.5,1.5,5.7,0,14.1,-1.345868966,-1.527266224,-1.335708832,170,126.25,77.27,320.68
270-2007-1-057,2007,dmp,2012,1,5,1.5,8.6,3.5,6,15.8,-1.103376098,0.716406069,-1.646359476,204,134.875,92.73,342.58
270-2007-1-057,2007,dmp,2013,1,6,12,7.8,10,5,34.5,1.564045456,0.463597923,1.615472289,183,144.25,83.18,366.40
270-2007-1-057,2007,dmp,2014,1,7,7.7,2.9,6.7,2.4,22.1,-0.204726055,-1.084851969,0.279674519,NA,NA,NA,NA
270-2007-1-057,2007,dmp,2015,1,8,4.4,12.4,5,0.3,29.1,0.793773991,1.917244761,-0.745472608,162,145.75,73.64,370.21
270-2007-1-057,2007,dmp,2016,1,9,4.5,7.9,1.3,0,20.2,-0.475747497,0.495198941,-0.714407543,NA,NA,NA,NA
270-2007-1-057,2007,dmp,2017,1,10,5.6,4.6,10.81,0,24.61,0.153307533,-0.54763466,-0.372691834,132,124.5,60.00,316.23
270-2007-1-057,2007,dmp,2018,1,11,4.8,2.3,17.7,0.9,29.1,0.793773991,-1.274458078,-0.62121235,NA,NA,NA,NA
270-2007-1-057,2007,dmp,2019,0,12,4.7,3.4,3,0.3,12,-1.64541898,-0.926846878,-0.652277414,NA,NA,NA,NA
270-2007-1-057,2007,dmp,2020,0,13,7.8,5.7,4.6,4.8,23.1,-0.062083192,-0.200023459,0.310739583,NA,NA,NA,NA
270-2007-1-057,2007,dmp,2021,0,14,10.1,6.2,0.3,0,19.4,-0.589861788,-0.042018368,1.025236065,NA,NA,NA,NA
270-2007-1-057,2007,dmp,2022,0,15,7,7.8,4.5,2.7,21.7,-0.261783201,0.463597923,0.062219068,NA,NA,NA,NA
270-2007-1-058,2007,dmp,2008,1,1,13.2,5.6,1,3,20.3,-0.46148321,-0.231624477,1.988253063,122,53.5,55.45,135.89
270-2007-1-058,2007,dmp,2009,0,2,4.1,5.6,8.4,1.5,20.4,-0.447218924,-0.231624477,-0.838667801,169,133,76.82,337.82
270-2007-1-058,2007,dmp,2010,0,3,9.7,8.6,7.4,2.4,31.8,1.178909724,0.716406069,0.900975807,NA,NA,NA,NA
270-2007-1-058,2007,dmp,2011,0,4,2.5,1.5,5.7,0,14.1,-1.345868966,-1.527266224,-1.335708832,NA,NA,NA,NA
270-2007-1-058,2007,dmp,2012,0,5,1.5,8.6,3.5,6,15.8,-1.103376098,0.716406069,-1.646359476,NA,NA,NA,NA
270-2007-1-058,2007,dmp,2013,0,6,12,7.8,10,5,34.5,1.564045456,0.463597923,1.615472289,NA,NA,NA,NA
270-2007-1-058,2007,dmp,2014,0,7,7.7,2.9,6.7,2.4,22.1,-0.204726055,-1.084851969,0.279674519,NA,NA,NA,NA
270-2007-1-058,2007,dmp,2015,0,8,4.4,12.4,5,0.3,29.1,0.793773991,1.917244761,-0.745472608,NA,NA,NA,NA
270-2007-1-058,2007,dmp,2016,0,9,4.5,7.9,1.3,0,20.2,-0.475747497,0.495198941,-0.714407543,NA,NA,NA,NA
270-2007-1-058,2007,dmp,2017,0,10,5.6,4.6,10.81,0,24.61,0.153307533,-0.54763466,-0.372691834,NA,NA,NA,NA
270-2007-1-058,2007,dmp,2018,0,11,4.8,2.3,17.7,0.9,29.1,0.793773991,-1.274458078,-0.62121235,NA,NA,NA,NA
270-2007-1-058,2007,dmp,2019,0,12,4.7,3.4,3,0.3,12,-1.64541898,-0.926846878,-0.652277414,NA,NA,NA,NA
270-2007-1-058,2007,dmp,2020,0,13,7.8,5.7,4.6,4.8,23.1,-0.062083192,-0.200023459,0.310739583,NA,NA,NA,NA
270-2007-1-058,2007,dmp,2021,0,14,10.1,6.2,0.3,0,19.4,-0.589861788,-0.042018368,1.025236065,NA,NA,NA,NA
270-2007-1-058,2007,dmp,2022,0,15,7,7.8,4.5,2.7,21.7,-0.261783201,0.463597923,0.062219068,NA,NA,NA,NA
270-2007-1-061,2007,dmp,2008,1,1,13.2,5.6,1,3,20.3,-0.46148321,-0.231624477,1.988253063,111,51.5,50.45,130.81
270-2007-1-061,2007,dmp,2009,0,2,4.1,5.6,8.4,1.5,20.4,-0.447218924,-0.231624477,-0.838667801,NA,NA,NA,NA
270-2007-1-061,2007,dmp,2010,0,3,9.7,8.6,7.4,2.4,31.8,1.178909724,0.716406069,0.900975807,NA,NA,NA,NA
270-2007-1-061,2007,dmp,2011,0,4,2.5,1.5,5.7,0,14.1,-1.345868966,-1.527266224,-1.335708832,NA,NA,NA,NA
270-2007-1-061,2007,dmp,2012,0,5,1.5,8.6,3.5,6,15.8,-1.103376098,0.716406069,-1.646359476,NA,NA,NA,NA
270-2007-1-061,2007,dmp,2013,0,6,12,7.8,10,5,34.5,1.564045456,0.463597923,1.615472289,NA,NA,NA,NA
270-2007-1-061,2007,dmp,2014,0,7,7.7,2.9,6.7,2.4,22.1,-0.204726055,-1.084851969,0.279674519,NA,NA,NA,NA
270-2007-1-061,2007,dmp,2015,0,8,4.4,12.4,5,0.3,29.1,0.793773991,1.917244761,-0.745472608,NA,NA,NA,NA
270-2007-1-061,2007,dmp,2016,0,9,4.5,7.9,1.3,0,20.2,-0.475747497,0.495198941,-0.714407543,NA,NA,NA,NA
270-2007-1-061,2007,dmp,2017,0,10,5.6,4.6,10.81,0,24.61,0.153307533,-0.54763466,-0.372691834,NA,NA,NA,NA
270-2007-1-061,2007,dmp,2018,0,11,4.8,2.3,17.7,0.9,29.1,0.793773991,-1.274458078,-0.62121235,NA,NA,NA,NA
270-2007-1-061,2007,dmp,2019,0,12,4.7,3.4,3,0.3,12,-1.64541898,-0.926846878,-0.652277414,NA,NA,NA,NA
270-2007-1-061,2007,dmp,2020,0,13,7.8,5.7,4.6,4.8,23.1,-0.062083192,-0.200023459,0.310739583,NA,NA,NA,NA
270-2007-1-061,2007,dmp,2021,0,14,10.1,6.2,0.3,0,19.4,-0.589861788,-0.042018368,1.025236065,NA,NA,NA,NA
270-2007-1-061,2007,dmp,2022,0,15,7,7.8,4.5,2.7,21.7,-0.261783201,0.463597923,0.062219068,NA,NA,NA,NA
270-2007-1-065,2007,dmp,2008,1,1,13.2,5.6,1,3,20.3,-0.46148321,-0.231624477,1.988253063,NA,NA,NA,NA
270-2007-1-065,2007,dmp,2009,1,2,4.1,5.6,8.4,1.5,20.4,-0.447218924,-0.231624477,-0.838667801,170,113.875,77.27,289.24
270-2007-1-065,2007,dmp,2010,1,3,9.7,8.6,7.4,2.4,31.8,1.178909724,0.716406069,0.900975807,215,140.375,97.73,356.55
270-2007-1-065,2007,dmp,2011,1,4,2.5,1.5,5.7,0,14.1,-1.345868966,-1.527266224,-1.335708832,223,170,101.36,431.80
270-2007-1-065,2007,dmp,2012,1,5,1.5,8.6,3.5,6,15.8,-1.103376098,0.716406069,-1.646359476,233,174.125,105.91,442.28
270-2007-1-065,2007,dmp,2013,2,6,12,7.8,10,5,34.5,1.564045456,0.463597923,1.615472289,232,170.125,105.45,432.12
270-2007-1-065,2007,dmp,2014,0,7,7.7,2.9,6.7,2.4,22.1,-0.204726055,-1.084851969,0.279674519,NA,NA,NA,NA
270-2007-1-065,2007,dmp,2015,0,8,4.4,12.4,5,0.3,29.1,0.793773991,1.917244761,-0.745472608,NA,NA,NA,NA
270-2007-1-065,2007,dmp,2016,0,9,4.5,7.9,1.3,0,20.2,-0.475747497,0.495198941,-0.714407543,NA,NA,NA,NA
270-2007-1-065,2007,dmp,2017,0,10,5.6,4.6,10.81,0,24.61,0.153307533,-0.54763466,-0.372691834,NA,NA,NA,NA
270-2007-1-065,2007,dmp,2018,0,11,4.8,2.3,17.7,0.9,29.1,0.793773991,-1.274458078,-0.62121235,NA,NA,NA,NA
270-2007-1-065,2007,dmp,2019,0,12,4.7,3.4,3,0.3,12,-1.64541898,-0.926846878,-0.652277414,NA,NA,NA,NA
270-2007-1-065,2007,dmp,2020,0,13,7.8,5.7,4.6,4.8,23.1,-0.062083192,-0.200023459,0.310739583,NA,NA,NA,NA
270-2007-1-065,2007,dmp,2021,0,14,10.1,6.2,0.3,0,19.4,-0.589861788,-0.042018368,1.025236065,NA,NA,NA,NA
270-2007-1-065,2007,dmp,2022,0,15,7,7.8,4.5,2.7,21.7,-0.261783201,0.463597923,0.062219068,NA,NA,NA,NA
270-2007-1-066,2007,dmp,2008,1,1,13.2,5.6,1,3,20.3,-0.46148321,-0.231624477,1.988253063,108,53.875,49.09,136.84
270-2007-1-066,2007,dmp,2009,1,2,4.1,5.6,8.4,1.5,20.4,-0.447218924,-0.231624477,-0.838667801,136,98,61.82,248.92
270-2007-1-066,2007,dmp,2010,1,3,9.7,8.6,7.4,2.4,31.8,1.178909724,0.716406069,0.900975807,164,150.5,74.55,382.27
270-2007-1-066,2007,dmp,2011,1,4,2.5,1.5,5.7,0,14.1,-1.345868966,-1.527266224,-1.335708832,160,155.875,72.73,395.92
270-2007-1-066,2007,dmp,2012,1,5,1.5,8.6,3.5,6,15.8,-1.103376098,0.716406069,-1.646359476,214,176.375,97.27,447.99
270-2007-1-066,2007,dmp,2013,1,6,12,7.8,10,5,34.5,1.564045456,0.463597923,1.615472289,178,167.125,80.91,424.50
270-2007-1-066,2007,dmp,2014,1,7,7.7,2.9,6.7,2.4,22.1,-0.204726055,-1.084851969,0.279674519,187,178.125,85.00,452.44
